date,mean_temp_c,precipitation_mm
2020-01-01,5.8,13.0
2020-01-02,2.3,10.8
2020-01-03,4.1,15.0
2020-01-04,5.5,6.0
2020-01-05,3.2,3.2
2020-01-06,1.2,1.1
2020-01-07,1.5,3.6
2020-01-08,1.5,3.5
2020-01-09,0.6,3.4
2020-01-10,0.1,
2020-01-11,0.9,
2020-01-12,-1.3,
2020-01-13,-6.6,
2020-01-14,,
2020-01-15,-11.0,
2020-01-16,-8.2,12.4
2020-01-17,-4.3,0.0
2020-01-18,-2.8,27.0
2020-01-19,0.8,29.3
2020-01-20,2.6,20.4
2020-01-21,3.7,37.4
2020-01-22,1.7,11.1
2020-01-23,2.3,51.1
2020-01-24,4.5,20.9
2020-01-25,4.0,2.8
2020-01-26,5.3,11.9
2020-01-27,5.2,8.2
2020-01-28,4.2,7.5
2020-01-29,4.0,31.6
2020-01-30,2.3,15.6
2020-01-31,6.6,115.0
2020-02-01,5.5,61.3
2020-02-02,0.2,2.9
2020-02-03,0.6,0.6
2020-02-04,-0.9,4.1
2020-02-05,0.6,7.6
2020-02-06,1.4,5.0
2020-02-07,1.7,23.8
2020-02-08,3.9,2.4
2020-02-09,1.8,0.0
2020-02-10,2.3,0.0
2020-02-11,2.6,0.0
2020-02-12,5.2,0.0
2020-02-13,3.5,10.6
2020-02-14,5.8,0.6
2020-02-15,3.3,11.6
2020-02-16,3.8,0.0
2020-02-17,3.0,0.0
2020-02-18,2.9,0.0
2020-02-19,3.4,0.0
2020-02-20,4.2,0.0
2020-02-21,4.0,0.8
2020-02-22,5.1,11.4
2020-02-23,2.7,19.2
2020-02-24,4.1,0.3
2020-02-25,2.2,1.5
2020-02-26,5.1,0.6
2020-02-27,5.4,6.4
2020-02-28,5.2,18.8
2020-02-29,5.3,0.2
2020-03-01,1.8,0.0
2020-03-02,4.1,6.6
2020-03-03,5.7,7.7
2020-03-04,5.9,0.5
2020-03-05,3.2,27.4
2020-03-06,4.4,0.0
2020-03-07,1.2,0.8
2020-03-08,3.4,0.0
2020-03-09,3.0,0.0
2020-03-10,1.8,32.8
2020-03-11,6.1,4.0
2020-03-12,2.6,0.0
2020-03-13,3.9,0.4
2020-03-14,0.0,3.9
2020-03-15,4.4,2.3
2020-03-16,8.1,0.0
2020-03-17,6.5,0.0
2020-03-18,8.1,0.0
2020-03-19,6.7,0.0
2020-03-20,6.5,0.0
2020-03-21,6.7,0.0
2020-03-22,5.6,0.0
2020-03-23,7.4,4.7
2020-03-24,6.4,3.5
2020-03-25,6.1,0.0
2020-03-26,3.2,0.2
2020-03-27,6.7,2.9
2020-03-28,6.9,54.9
2020-03-29,8.7,14.0
2020-03-30,5.6,29.2
2020-03-31,5.4,3.6
2020-04-01,5.4,0.2
2020-04-02,4.8,0.0
2020-04-03,5.8,1.3
2020-04-04,5.3,0.0
2020-04-05,6.7,0.0
2020-04-06,6.9,0.3
2020-04-07,8.5,0.2
2020-04-08,8.6,0.1
2020-04-09,9.6,0.0
2020-04-10,9.9,0.0
2020-04-11,10.7,0.5
2020-04-12,9.0,0.0
2020-04-13,8.3,0.0
2020-04-14,9.4,0.0
2020-04-15,12.1,0.0
2020-04-16,11.7,0.1
2020-04-17,10.9,0.0
2020-04-18,13.4,0.2
2020-04-19,12.4,0.0
2020-04-20,11.9,0.0
2020-04-21,11.0,0.5
2020-04-22,11.5,1.7
2020-04-23,12.5,0.0
2020-04-24,12.0,0.0
2020-04-25,11.3,28.2
2020-04-26,10.3,1.4
2020-04-27,10.1,18.6
2020-04-28,7.5,1.4
2020-04-29,8.8,4.0
2020-04-30,,
2020-05-01,,
2020-05-02,9.5,22.1
2020-05-03,8.8,2.5
2020-05-04,9.2,4.5
2020-05-05,13.5,7.6
2020-05-06,11.6,10.2
2020-05-07,12.1,0.0
2020-05-08,16.5,0.0
2020-05-09,19.1,0.0
2020-05-10,20.1,0.0
2020-05-11,21.1,0.0
2020-05-12,15.2,0.9
2020-05-13,14.5,7.4
2020-05-14,13.5,0.2
2020-05-15,14.6,0.0
2020-05-16,10.3,15.0
2020-05-17,13.9,14.5
2020-05-18,14.3,0.0
2020-05-19,14.1,0.0
2020-05-20,14.6,0.0
2020-05-21,12.6,1.1
2020-05-22,12.5,0.0
2020-05-23,12.3,0.0
2020-05-24,14.5,0.6
2020-05-25,13.7,12.2
2020-05-26,14.8,0.1
2020-05-27,14.2,0.0
2020-05-28,18.7,0.0
2020-05-29,17.6,0.1
2020-05-30,15.0,1.5
2020-05-31,14.5,0.0
2020-06-01,13.4,0.0
2020-06-02,10.1,6.8
2020-06-03,12.9,0.0
2020-06-04,13.6,0.0
2020-06-05,14.4,0.0
2020-06-06,13.1,1.3
2020-06-07,12.8,0.0
2020-06-08,11.4,0.8
2020-06-09,10.7,5.6
2020-06-10,15.9,0.3
2020-06-11,14.3,6.6
2020-06-12,13.9,11.0
2020-06-13,13.0,0.5
2020-06-14,13.5,0.9
2020-06-15,11.8,5.4
2020-06-16,15.1,0.0
2020-06-17,15.3,0.0
2020-06-18,16.8,0.0
2020-06-19,17.8,0.9
2020-06-20,18.0,11.2
2020-06-21,17.3,3.2
2020-06-22,14.3,0.0
2020-06-23,19.6,3.2
2020-06-24,18.0,25.0
2020-06-25,19.9,0.0
2020-06-26,17.5,0.7
2020-06-27,17.4,1.4
2020-06-28,16.4,1.7
2020-06-29,17.1,0.0
2020-06-30,15.7,6.1
2020-07-01,13.2,2.9
2020-07-02,13.5,0.5
2020-07-03,13.5,11.7
2020-07-04,15.0,0.0
2020-07-05,15.4,0.0
2020-07-06,16.0,0.0
2020-07-07,15.3,0.1
2020-07-08,16.2,0.2
2020-07-09,16.9,1.7
2020-07-10,16.8,0.0
2020-07-11,13.9,5.1
2020-07-12,16.0,0.9
2020-07-13,15.6,0.0
2020-07-14,17.3,0.0
2020-07-15,19.1,0.0
2020-07-16,18.4,1.6
2020-07-17,18.5,0.6
2020-07-18,19.6,0.0
2020-07-19,19.8,0.0
2020-07-20,22.4,0.0
2020-07-21,22.1,0.0
2020-07-22,20.4,0.2
2020-07-23,19.4,0.0
2020-07-24,17.3,2.8
2020-07-25,17.6,0.0
2020-07-26,20.6,0.0
2020-07-27,22.9,0.0
2020-07-28,19.8,0.0
2020-07-29,20.5,0.0
2020-07-30,22.4,0.0
2020-07-31,20.6,0.3
2020-08-01,19.7,0.0
2020-08-02,19.7,0.0
2020-08-03,19.7,0.0
2020-08-04,21.1,0.0
2020-08-05,20.6,0.0
2020-08-06,17.7,12.7
2020-08-07,16.1,1.3
2020-08-08,17.8,0.0
2020-08-09,16.9,0.0
2020-08-10,18.6,0.0
2020-08-11,16.9,0.0
2020-08-12,15.3,0.0
2020-08-13,15.2,0.0
2020-08-14,16.9,0.0
2020-08-15,19.5,0.0
2020-08-16,23.1,0.0
2020-08-17,24.0,0.5
2020-08-18,20.2,0.0
2020-08-19,19.1,0.0
2020-08-20,17.7,28.7
2020-08-21,16.7,45.2
2020-08-22,17.2,0.2
2020-08-23,16.1,0.0
2020-08-24,18.2,0.0
2020-08-25,16.5,0.0
2020-08-26,16.4,0.0
2020-08-27,16.9,0.0
2020-08-28,17.6,0.0
2020-08-29,16.4,0.0
2020-08-30,13.5,0.0
2020-08-31,15.5,0.0
2020-09-01,17.6,0.0
2020-09-02,19.2,0.1
2020-09-03,18.0,0.0
2020-09-04,20.6,0.0
2020-09-05,17.2,0.0
2020-09-06,19.1,0.0
2020-09-07,20.5,0.0
2020-09-08,18.6,0.0
2020-09-09,20.3,0.0
2020-09-10,21.9,0.0
2020-09-11,19.2,0.0
2020-09-12,15.5,0.0
2020-09-13,13.5,0.0
2020-09-14,14.5,2.1
2020-09-15,18.3,1.1
2020-09-16,19.9,0.0
2020-09-17,17.7,0.0
2020-09-18,15.4,0.0
2020-09-19,16.0,2.8
2020-09-20,16.2,0.0
2020-09-21,14.8,1.1
2020-09-22,17.2,1.4
2020-09-23,14.6,89.1
2020-09-24,13.9,66.1
2020-09-25,14.3,50.0
2020-09-26,12.0,2.3
2020-09-27,13.0,0.0
2020-09-28,14.4,0.0
2020-09-29,18.6,0.0
2020-09-30,18.5,0.0
2020-10-01,16.6,0.0
2020-10-02,17.7,0.0
2020-10-03,15.5,0.0
2020-10-04,13.5,0.0
2020-10-05,15.7,0.0
2020-10-06,15.3,0.0
2020-10-07,16.2,0.0
2020-10-08,14.9,0.3
2020-10-09,14.1,60.1
2020-10-10,11.9,35.7
2020-10-11,7.4,18.1
2020-10-12,8.0,0.0
2020-10-13,8.2,38.0
2020-10-14,8.9,0.0
2020-10-15,7.2,0.5
2020-10-16,10.1,14.7
2020-10-17,10.4,0.0
2020-10-18,8.9,8.7
2020-10-19,10.6,0.7
2020-10-20,8.9,0.1
2020-10-21,9.3,0.0
2020-10-22,6.0,0.0
2020-10-23,4.6,12.6
2020-10-24,5.6,0.0
2020-10-25,2.7,0.0
2020-10-26,3.6,0.3
2020-10-27,2.1,8.8
2020-10-28,6.9,9.7
2020-10-29,10.5,1.3
2020-10-30,8.6,23.2
2020-10-31,6.2,0.0
2020-11-01,8.0,0.0
2020-11-02,6.3,0.0
2020-11-03,7.3,54.1
2020-11-04,10.9,90.8
2020-11-05,9.1,4.0
2020-11-06,5.6,0.0
2020-11-07,3.7,0.0
2020-11-08,4.2,1.0
2020-11-09,0.4,5.2
2020-11-10,2.0,1.4
2020-11-11,1.3,0.0
2020-11-12,1.4,20.5
2020-11-13,1.1,23.4
2020-11-14,1.6,2.9
2020-11-15,4.5,21.4
2020-11-16,3.3,8.6
2020-11-17,6.4,5.0
2020-11-18,6.5,2.0
2020-11-19,5.6,4.0
2020-11-20,5.9,2.9
2020-11-21,3.6,4.6
2020-11-22,2.2,2.3
2020-11-23,4.2,2.6
2020-11-24,4.6,2.8
2020-11-25,4.7,5.3
2020-11-26,,
2020-11-27,6.8,37.2
2020-11-28,5.2,2.2
2020-11-29,1.2,4.1
2020-11-30,5.3,15.1
2020-12-01,2.3,0.0
2020-12-02,4.7,0.0
2020-12-03,2.3,0.1
2020-12-04,6.3,0.0
2020-12-05,4.1,0.0
2020-12-06,4.7,0.5
2020-12-07,7.1,39.9
2020-12-08,5.1,30.2
2020-12-09,4.4,0.9
2020-12-10,3.3,0.0
2020-12-11,2.7,2.0
2020-12-12,0.8,0.2
2020-12-13,0.3,5.0
2020-12-14,1.7,1.1
2020-12-15,4.6,27.7
2020-12-16,5.3,17.2
2020-12-17,4.6,4.3
2020-12-18,4.9,45.9
2020-12-19,3.5,26.9
2020-12-20,4.8,4.8
2020-12-21,3.3,7.7
2020-12-22,0.7,0.3
2020-12-23,-0.6,0.0
2020-12-24,-1.4,0.0
2020-12-25,0.3,16.9
2020-12-26,3.8,31.9
2020-12-27,3.4,3.3
2020-12-28,2.6,2.2
2020-12-29,0.0,3.6
2020-12-30,0.5,29.5
2020-12-31,1.9,7.2
