date,mean_temp_c,precipitation_mm,streamflow_cms,precip_lag1,precip_3day,precip_7day,temp_3day_mean,temp_7day_mean,streamflow_lag1,streamflow_lag3,streamflow_7day_mean,month,day_of_year,target_next_day_streamflow
2020-01-08,1.5,3.5,137.0,3.6,8.2,43.2,1.4000000000000001,2.7571428571428567,142.0,140.0,148.0,1,8,85.3
2020-01-09,0.6,3.4,85.3,3.5,10.5,35.800000000000004,1.2,2.5142857142857147,137.0,119.0,148.28571428571428,1,9,69.5
2020-01-10,0.1,4.685714285714286,69.5,3.4,11.585714285714285,25.485714285714288,0.7333333333333333,1.9428571428571428,85.3,142.0,141.18571428571428,1,10,61.2
2020-01-11,0.9,5.9714285714285715,61.2,4.685714285714286,14.057142857142857,25.457142857142856,0.5333333333333333,1.2857142857142858,69.5,137.0,132.4,1,11,56.3
2020-01-12,-1.3,7.257142857142858,56.3,5.9714285714285715,17.914285714285715,29.514285714285716,-0.10000000000000009,0.6428571428571429,61.2,85.3,107.71428571428571,1,12,61.7
2020-01-22,1.7,11.1,161.0,37.4,68.9,137.6,2.6666666666666665,-0.9285714285714283,167.0,41.9,72.2,1,22,182.0
2020-01-23,2.3,51.1,182.0,11.1,99.6,176.3,2.566666666666667,0.5714285714285715,161.0,106.0,87.55714285714285,1,23,270.0
2020-01-24,4.5,20.9,270.0,51.1,83.10000000000001,197.2,2.8333333333333335,1.8285714285714287,182.0,167.0,105.28571428571429,1,24,222.0
2020-01-25,4.0,2.8,222.0,20.9,74.80000000000001,173.0,3.6,2.8000000000000003,270.0,161.0,138.2,1,25,158.0
2020-01-26,5.3,11.9,158.0,2.8,35.60000000000001,155.6,4.6,3.442857142857143,222.0,182.0,164.27142857142857,1,26,166.0
2020-01-27,5.2,8.2,166.0,11.9,22.900000000000006,143.4,4.833333333333333,3.814285714285714,158.0,270.0,180.85714285714286,1,27,152.0
2020-01-28,4.2,7.5,152.0,8.2,27.600000000000005,113.5,4.9,3.8857142857142857,166.0,222.0,189.42857142857142,1,28,130.0
2020-01-29,4.0,31.6,130.0,7.5,47.30000000000001,134.0,4.466666666666667,4.214285714285714,152.0,158.0,187.28571428571428,1,29,116.0
2020-01-30,2.3,15.6,116.0,31.6,54.7,98.5,3.5,4.214285714285714,130.0,166.0,182.85714285714286,1,30,184.0
2020-01-31,6.6,115.0,184.0,15.6,162.2,192.6,4.3,4.514285714285714,116.0,152.0,173.42857142857142,1,31,628.0
2020-02-01,5.5,61.3,628.0,115.0,191.9,251.10000000000002,4.8,4.728571428571429,184.0,130.0,161.14285714285714,2,32,313.0
2020-02-02,0.2,2.9,313.0,61.3,179.20000000000002,242.1,4.1,4.0,628.0,116.0,219.14285714285714,2,33,197.0
2020-02-03,0.6,0.6,197.0,2.9,64.8,234.49999999999997,2.1,3.3428571428571425,313.0,184.0,241.28571428571428,2,34,126.0
2020-02-04,-0.9,4.1,126.0,0.6,7.6,231.10000000000002,-0.033333333333333326,2.6142857142857143,197.0,628.0,245.71428571428572,2,35,97.4
2020-02-05,0.6,7.6,97.4,4.1,12.299999999999999,207.1,0.09999999999999999,2.1285714285714286,126.0,313.0,242.0,2,36,82.5
2020-02-06,1.4,5.0,82.5,7.6,16.7,196.5,0.36666666666666664,2.0,97.4,197.0,237.34285714285716,2,37,73.9
