date,mean_temp_c,precipitation_mm,streamflow_cms
2020-01-01,5.8,13.0,135.0
2020-01-02,2.3,10.8,135.0
2020-01-03,4.1,15.0,131.0
2020-01-04,5.5,6.0,234.0
2020-01-05,3.2,3.2,140.0
2020-01-06,1.2,1.1,119.0
2020-01-07,1.5,3.6,142.0
2020-01-08,1.5,3.5,137.0
2020-01-09,0.6,3.4,85.3
2020-01-10,0.1,,69.5
2020-01-11,0.9,,61.2
2020-01-12,-1.3,,56.3
2020-01-13,-6.6,,61.7
2020-01-14,,,75.1
2020-01-15,-11.0,,53.5
2020-01-16,-8.2,12.4,57.9
2020-01-17,-4.3,0.0,39.6
2020-01-18,-2.8,27.0,39.5
2020-01-19,0.8,29.3,41.9
2020-01-20,2.6,20.4,106.0
2020-01-21,3.7,37.4,167.0
2020-01-22,1.7,11.1,161.0
2020-01-23,2.3,51.1,182.0
2020-01-24,4.5,20.9,270.0
2020-01-25,4.0,2.8,222.0
2020-01-26,5.3,11.9,158.0
2020-01-27,5.2,8.2,166.0
2020-01-28,4.2,7.5,152.0
2020-01-29,4.0,31.6,130.0
2020-01-30,2.3,15.6,116.0
2020-01-31,6.6,115.0,184.0
2020-02-01,5.5,61.3,628.0
2020-02-02,0.2,2.9,313.0
2020-02-03,0.6,0.6,197.0
2020-02-04,-0.9,4.1,126.0
2020-02-05,0.6,7.6,97.4
2020-02-06,1.4,5.0,82.5
2020-02-07,1.7,23.8,73.9
2020-02-08,3.9,2.4,78.6
2020-02-09,1.8,0.0,63.9
2020-02-10,2.3,0.0,57.8
2020-02-11,2.6,0.0,68.1
2020-02-12,5.2,0.0,76.3
2020-02-13,3.5,10.6,69.3
2020-02-14,5.8,0.6,52.0
2020-02-15,3.3,11.6,47.8
2020-02-16,3.8,0.0,46.3
2020-02-17,3.0,0.0,43.4
2020-02-18,2.9,0.0,40.3
2020-02-19,3.4,0.0,38.0
2020-02-20,4.2,0.0,37.1
2020-02-21,4.0,0.8,37.1
2020-02-22,5.1,11.4,51.8
2020-02-23,2.7,19.2,40.1
2020-02-24,4.1,0.3,42.0
2020-02-25,2.2,1.5,38.4
2020-02-26,5.1,0.6,36.4
2020-02-27,5.4,6.4,36.4
2020-02-28,5.2,18.8,41.9
2020-02-29,5.3,0.2,60.9
2020-03-01,1.8,0.0,53.4
2020-03-02,4.1,6.6,46.5
2020-03-03,5.7,7.7,44.2
2020-03-04,5.9,0.5,47.3
2020-03-05,3.2,27.4,48.8
2020-03-06,4.4,0.0,50.0
2020-03-07,1.2,0.8,44.1
2020-03-08,3.4,0.0,39.5
2020-03-09,3.0,0.0,37.0
2020-03-10,1.8,32.8,37.6
2020-03-11,6.1,4.0,37.8
2020-03-12,2.6,0.0,34.9
2020-03-13,3.9,0.4,32.0
2020-03-14,0.0,3.9,28.9
2020-03-15,4.4,2.3,28.9
2020-03-16,8.1,0.0,30.7
2020-03-17,6.5,0.0,29.5
2020-03-18,8.1,0.0,30.2
2020-03-19,6.7,0.0,32.1
2020-03-20,6.5,0.0,35.1
2020-03-21,6.7,0.0,39.8
2020-03-22,5.6,0.0,46.2
2020-03-23,7.4,4.7,47.3
2020-03-24,6.4,3.5,44.8
2020-03-25,6.1,0.0,41.5
2020-03-26,3.2,0.2,40.0
2020-03-27,6.7,2.9,39.4
2020-03-28,6.9,54.9,46.8
2020-03-29,8.7,14.0,113.0
2020-03-30,5.6,29.2,104.0
2020-03-31,5.4,3.6,82.5
2020-04-01,5.4,0.2,79.5
2020-04-02,4.8,0.0,69.6
2020-04-03,5.8,1.3,60.4
2020-04-04,5.3,0.0,44.5
2020-04-05,6.7,0.0,40.9
2020-04-06,6.9,0.3,39.0
2020-04-07,8.5,0.2,39.1
2020-04-08,8.6,0.1,43.9
2020-04-09,9.6,0.0,53.1
2020-04-10,9.9,0.0,79.2
2020-04-11,10.7,0.5,114.0
2020-04-12,9.0,0.0,96.6
